file_name,report_type,report_date,work_center,employee,cable_id,pair_low,pair_high,page_count
"ACR 6680P, 1-1200.pdf",ACR,Wed Mar 26 11:40:23 2025,850476,HM9872,6680P,1,1200,52
"CAPR 6680P, 1-1200.pdf",CAPR/CPR,Wed Mar 26 11:40:34 2025,850476,HM9872,6680P,1,1200,84
"ACR,MD2010,1-168 1.pdf",ACR,Wed Nov  5 09:45:50 2025,985446,HM9872,MD2010,1,168,7
"cpr MD210,1-168.pdf",CAPR/CPR,Wed Nov  5 09:41:44 2025,985446,HM9872,MD2010,1,168,14
